ijvdh1DREGU	NA	7103.0	The Martial Art Journey with ROKAS LEONAVICIUS | EMP Podcast 116
FLhZ0zs6ADk	NA	4780.0	Improving Athletic Performance Through Play with AUSTIN JOCHUM | EMP Podcast 115
xSf8FkS3bq8	NA	4347.0	How to Build an Independent Athlete with BOBBY WHYTE | EMP Podcast 114
2ImEtJ8U-z4	NA	5621.0	A Better Conversation About Race with CHLOE VALDARY | EMP Podcast 113
cmdnYQltOoQ	NA	9654.0	Becoming a True Movement Generalist with BREN VEZIROGLU | EMP Podcast 112
Xf_OW1GurQk	NA	6821.0	Building the Culture of the Body with SIMON THAKUR | EMP Podcast 111
txe6Uc4XL_U	NA	6733.0	The Permaculture of Movement with RODRIGO SALULIMA | EMP Podcast 110
yCTSpwAmNq4	NA	6065.0	Is Parkour Better Barefoot? with MATHIEU JANG | EMP Podcast 109
YKdQNBiTMeY	NA	90.0	EMP Community Highlight | Lee Shay
SAFlFiHqIMk	NA	6914.0	Strength Training for Parkour with @STORROR 's CALLUM POWELL | EMP Podcast 108
6iwcKa3sYZQ	NA	6028.0	Is Rock Climbing Parkour? with @STORROR 's TOBY SEGAR | EMP Podcast 107
2Af-m-jcCxY	NA	6573.0	JRR Tolkien Vs Grimdark: Meaning and Nihilism in Fantasy with Damien Walter | EMP Podcast 106
aYU-YL_QOms	NA	47.0	Natural Movement: Experience an Evolve Move Play Seminar
qLJUpmMrtvI	NA	141.0	Nest Robbers: Return to the Source 2021
HqJpiAMuz0w	NA	87.0	My Favorite new Natural Movement Game: King of the Course, Try it!
xyYSJMmGvHo	NA	81.0	Return to the Source 2021: King of the Hill
TVvaOZnl5m0	NA	142.0	The Four Fundamental Pillars of Movement Practice
PJ41ejtN-VU	NA	87.0	Return to the Source 2021: Chase Tag Games
L7iygORwDJM	NA	254.0	Meaning In Movement: With Strength Side's Trevor Hash
xq5zQHcHI-c	NA	106.0	Return to the Source 2021: Aliveness
CgLyk6nG3Qg	NA	7991.0	Parkour, Martial Arts & Play with Sebastien Foucan | EMP Podcast 104
grbYYeJseIc	NA	7728.0	How We Learn to Move with Rob Gray | EMP Podcast 103
4UYIKhQJRas	NA	6708.0	Zen and the Art of Meaning Making with Sevilla King | EMP Podcast 102
zDnNONr2kdw	NA	252.0	How 'Serious Play' Builds Better Coaches, Athletes, and Humans
9tJjtoKi8KQ	NA	6615.0	Understanding & Unraveling the Traditional Martial Arts Pedagogy with Josh Peacock | EMP Podcast 99
loER5dAu0Dc	NA	5320.0	Applying Ecological Dynamics to MMA Training with Scott Sievewright | EMP Podcast 98
6qx9RMHTO_s	NA	6206.0	Movement, Play & Martial Arts for Self Cultivation with Jan Bloem | EMP Podcast 97
qPrEcpL6ahc	NA	8189.0	Patterns of Being with Jonathan Pageau | EMP Podcast 96
8-scHTonPPg	NA	8385.0	Parkour, Social Justice & Transhumanism with Lucas Dimoveo | EMP Podcast 95
ISsjsp3cuAY	NA	4968.0	Cultivating Creativity for Movement and Life with Michael "Frosti" Snow  EMP Podcast 93
bT8vGad40_4	NA	9129.0	Perception, Action & Ecological Dynamics with David Farrokh | EMP Podcast 92
HZtC0mfvSZw	NA	5747.0	Ascending Strength with Oliver Thorpe | EMP Podcast 91
yYapp9M2g98	NA	5863.0	Growing Wild with Katy Bowman | EMP Podcast 90
j1xLF8w0xGg	NA	3165.0	Parkour as Self Defense with Brandee Laird | EMP Podcast 89
He5HpTjFKO4	NA	7476.0	World Chase Tag with Christian and Damien Devaux | EMP Podcast 88
BVNRoJrCvbw	NA	6165.0	Physical Alchemy with Dave Wardman | EMP Podcast 86
OZO-GGs0TeY	NA	6811.0	The Yoga of Communication with Guy Sengstock | EMP Podcast 85
yCcaovhf6ss	NA	7997.0	Postmodernism, Culture War and the Meaning Crisis with John Vervaeke | EMP Podcast 83
pNelrr9yHn4	NA	5812.0	Going Beyond Exercise: Becoming Whole Through Movement with Jason C  Brown | EMP Podcast 81
6aYMhf5__8Y	NA	8661.0	Do VS Jitsu in Parkour and Martial Arts with Travis Lee | EMP Podcast 80
koaLlK7qSDo	NA	7647.0	Bridging the Mythological and Scientific Worldviews with Jonathan Pageau | EMP Podcast 79
JwqSMOqxqkk	NA	109.0	Jump over that Fence: Evolve Move Play Testimonial Brett Shannon
uK6YLt8mZtM	NA	65.0	Flipping in the tree's with them O'G's
